"header"	"created"	"author"	"topic"	"path"	"source"
"ПРИЯТНО ОСОЗНАВАТЬ, ЧТО МЫ НЕ ЗАБЫТЫ"	"15.05.2013"	"Noname"	"Наши земляки"	"2013/May/2970.txt"	"http://desnyanka.ru/nashi_zemlyaki/992-PRIYATNOOSOZNAVATCHTOMINEZABITI.html"
"УЧАСТНИЦА БАЛА ПОБЕДЫ"	"13.01.2012"	"Noname"	"Наши земляки"	"2012/January/2971.txt"	"http://desnyanka.ru/nashi_zemlyaki/583-UCHASTNITSABALAPOBEDI.html"
"НА СТРАЖЕ ПРАВ И СВОБОД ЧЕЛОВЕКА"	"13.01.2012"	"Noname"	"Профессиональный праздник"	"2012/January/2972.txt"	"http://desnyanka.ru/prof_prazdnik/582-NASTRAZHEPRAVISVOBODCHELOVEKA.html"
"ГОТОВИМСЯ К ИТОГОВОЙ АТТЕСТАЦИИ"	"13.01.2012"	"Noname"	"Информация"	"2012/January/2973.txt"	"http://desnyanka.ru/informaciya/580-GOTOVIMSYAKITOGOVOYATTESTATSII.html"
"ЗНАТОКИ СОЛЬФЕДЖИО"	"20.03.2015"	"Валерий ШВЕДОВ"	"Разное"	"2015/March/2974.txt"	"http://desnyanka.ru/raznoe/2917-znatoki-solfedzhio.html"
"СПАСИБО ЗА ЧУТКОСТЬ И ПОНИМАНИЕ"	"11.09.2015"	"Noname"	"Наши земляки"	"2015/September/2975.txt"	"http://desnyanka.ru/nashi_zemlyaki/3588-spasibo-za-chutkost-i-ponimanie-3588.html"
"БУДЬТЕ ОСТОРОЖНЫ, КАТАЯСЬ НА ЛОДКАХ"	"11.09.2015"	"Noname"	"Службы информируют"	"2015/September/2976.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3587-budte-ostorozhni-katayas-na-lodkax-3587.html"
"В ПАЛЬЦО ОСВЯЩЁН НОВЫЙ ХРАМ"	"5.09.2014"	"Наталия КАМЧАТОВА"	"Район: день за днем"	"2014/September/2977.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2121-v-palczo-osvyashhn-novij-xram.html"
"ДЕТСКИЙ САД: ЭЛЕКТРОННАЯ ОЧЕРЕДЬ"	"5.09.2014"	"Noname"	"Спрашивали – отвечаем"	"2014/September/2978.txt"	"http://desnyanka.ru/sprashivali-otvechaem/2120-detskij-sad-elektronnaya-ochered.html"
"В ПРИОРИТЕТЕ — ПОМОЩЬ ИНВАЛИДАМ"	"5.09.2014"	"Светлана РОМАШОВА"	"Информация"	"2014/September/2979.txt"	"http://desnyanka.ru/informaciya/2119-v-prioritete-pomoshh-invalidam.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"5.09.2014"	"Пресс-служба"	"Народ и власть"	"2014/September/2980.txt"	"http://desnyanka.ru/narod_i_vlast/2118-v-pravitelstve-oblasti.html"
"Поздравление с международным днем защиты детей"	"29.05.2015"	"Noname"	"Разное"	"2015/May/2981.txt"	"http://desnyanka.ru/raznoe/3267-pozdravlenie-s-mezhdunarodnim-dnem-zashhiti-detej-3267.html"
"НА ТАКИХ ЛЮДЯХ РОССИЯ ДЕРЖИТСЯ"	"29.05.2015"	"Виктор ПИСАРЕВ"	"«Творцы Победы»"	"2015/May/2982.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/tvortsyi-pobedyi/3266-na-takix-lyudyax-rossiya-derzhitsya-3266.html"
"ПОЗДРАВИЛИ ВЕТЕРАНОВ"	"29.05.2015"	"Е.П. Шубина"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/2983.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/kulturno-massovyie-sportivnyie-i-obshhestvenno-prosvetitelskie-meropriyatiya/3265-pozdravili-veteranov-3265.html"
